Email,Territorio,País de envío,Estado o provincia de envío,Municipio,Colonia,Calle de envío,Estatus,Código postal de envío,Ruta,Nombre de la cuenta,Plantilla de clientes,Folio de tienda,Cédula profesional,Grupo de cadena,Especialidad,Categoría del médico,Propietario de la cuenta,lat,lng,google_maps_url,NOMBRE_BRICK
,,México,QUERETARO,QUERETARO,JURICA ACUEDUCTO,BOULEVARD UNIVERSITARIO 524,Activa,76230,1010507,GUADALAJARA JURIQUILLA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.7091648,-100.4465206,"https://www.google.com/maps/search/?api=1&query=20.7091648,-100.4465206",
,,México,QUERETARO,QUERETARO,MILENIO III FASE A,CAMINO REAL DE CARRETAS 196,Activa,76060,1010507,GUADALAJARA MILENIO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5961182,-100.3591079,"https://www.google.com/maps/search/?api=1&query=20.5961182,-100.3591079",
,,México,QUERETARO,QUERETARO,JARDINES DE QUERETARO,CALZADA DE LOS ARCOS 4,Activa,76020,1010507,DEL AHORRO JARDINES DE QUERETARO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5918513,-100.3786857,"https://www.google.com/maps/search/?api=1&query=20.5918513,-100.3786857",
,,México,QUERETARO,QUERETARO,PUNTA JURIQUILLA,BOULEVARD DE LAS CIENCIAS 2060,Activa,76230,1010507,HEB,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.6919462,-100.4385146,"https://www.google.com/maps/search/?api=1&query=20.6919462,-100.4385146",
,,México,QUERETARO,CORREGIDORA,AMPLIACION EL PUEBLITO,CAMINO A VANEGAS 149,Activa,76900,1010507,GUADALAJARA VANEGAS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5577005,-100.4335312,"https://www.google.com/maps/search/?api=1&query=20.5577005,-100.4335312",CORREGIDORA 229005
,,México,QUERETARO,QUERETARO,JURIQUILLA SANTA FE,BOULEVARD UNIVERSITARIO 540,Activa,76230,1010507,BENAVIDES JURIQUILLA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.7051309,-100.445028,"https://www.google.com/maps/search/?api=1&query=20.7051309,-100.445028",
,,México,QUERETARO,QUERETARO,CALETTO,BOULEVARD JURICA LA CAMPANA 899,Activa,76230,1010507,FRESKO JURIQUILLA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.705946,-100.4426911,"https://www.google.com/maps/search/?api=1&query=20.705946,-100.4426911",
,,México,QUERETARO,QUERETARO,SAN JAVIER,CALZADA PATHE 4,Activa,76020,1010507,GUADALAJARA JARDINES DE QUERETARO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5979277,-100.3807605,"https://www.google.com/maps/search/?api=1&query=20.5979277,-100.3807605",
,,México,QUERETARO,CORREGIDORA,EL PUEBLITO CENTRO,AVENIDA PASEO DEL GRAN CUE 4,Activa,76900,1010507,GUADALAJARA GRAN CUE,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5490443,-100.427836,"https://www.google.com/maps/search/?api=1&query=20.5490443,-100.427836",CORREGIDORA 229005
,,México,QUERETARO,CORREGIDORA,EL PUEBLITO CENTRO,JOSEFA ORTIZ DE DOMINGUEZ 93,Activa,76900,1010507,GUADALAJARA PUEBLITO,Farmacias Digrimex,,,,,C,Claudia Elisa Cerda Castillo,20.5411171,-100.4345205,"https://www.google.com/maps/search/?api=1&query=20.5411171,-100.4345205",CORREGIDORA 229005
,,México,QUERETARO,CORREGIDORA,TEJEDA,PASEO DE TEJEDA 202,Activa,76904,1010507,GUADALAJARA TEJEDA,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5467843,-100.4216361,"https://www.google.com/maps/search/?api=1&query=20.5467843,-100.4216361",CORREGIDORA 229005
,,México,QUERETARO,QUERETARO,CIMATARIO,AVENIDA CONSTITUYENTES 33,Activa,76030,1010507,ISSEG,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5846793,-100.3917595,"https://www.google.com/maps/search/?api=1&query=20.5846793,-100.3917595",QUERETARO 220103
,,México,QUERETARO,QUERETARO,JURICA LA SOLANA,BOULEVARD DE LAS CIENCIAS 2,Activa,76230,1010507,BENAVIDES BLVD DE LAS CIENCIAS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.6919462,-100.4385146,"https://www.google.com/maps/search/?api=1&query=20.6919462,-100.4385146",
,,México,QUERETARO,CORREGIDORA,EL PUEBLITO CENTRO,JOSEFA ORTIZ DE DOMINGUEZ 109,Activa,76900,1010507,DEL AHORRO PUEBLITO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5413775,-100.4329464,"https://www.google.com/maps/search/?api=1&query=20.5413775,-100.4329464",CORREGIDORA 229005
,,México,QUERETARO,QUERETARO,CARRETAS,BOULEVAD BERNARDO QUINTANA 116,Activa,76050,1010507,DEL AHORRO CARRETAS,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5951599,-100.371712,"https://www.google.com/maps/search/?api=1&query=20.5951599,-100.371712",
,,México,QUERETARO,QUERETARO,MILENIO III FASE B SECCION 10,CAMINO REAL DE CARRETAS 386,Activa,76060,1010507,FRESKO MILENIO,Farmacias Digrimex,,,,,A,Claudia Elisa Cerda Castillo,20.5948812,-100.3487533,"https://www.google.com/maps/search/?api=1&query=20.5948812,-100.3487533",
